year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1917,NHL,MTL,NHLF,1,,22,13,9,0,,26,1.18,,,115,84,336,15.3,,,,,,5.23,3.82
1917,NHL,OTS,,0,,22,9,13,0,,18,0.82,,,102,114,333,15.1,,,,,,4.64,5.18
1917,NHL,TOA,SC,1,,22,13,9,0,,26,1.18,,,108,109,355,16.1,,,,,,4.91,4.95
1918,NHL,MTL,ND,1,,18,10,8,0,,20,1.11,,,88,78,253,14.1,,,,,,4.89,4.33
1918,NHL,OTS,NHLF,1,,18,12,6,0,,24,1.33,,,71,53,241,13.4,,,,,,3.94,2.94
1918,NHL,TOA,,0,,18,5,13,0,,10,0.56,,,64,92,269,14.9,,,,,,3.56,5.11
1919,NHL,MTL,,0,,24,13,11,0,,26,1.08,,,129,113,297,12.4,,,,,,5.38,4.71
1919,NHL,OTS,SC,1,,24,19,5,0,,38,1.58,,,121,64,305,12.7,,,,,,5.04,2.67
1919,NHL,QUB,,0,,24,4,20,0,,8,0.33,,,91,177,123,5.1,,,,,,3.79,7.38
1919,NHL,TRS,,0,,24,12,12,0,,24,1.00,,,119,106,253,10.5,,,,,,4.96,4.42
1920,NHL,HAM,,0,,24,6,18,0,,12,0.50,,,92,132,183,7.6,,,,,,3.83,5.5
1920,NHL,MTL,,0,,24,13,11,0,,26,1.08,,,112,99,325,13.5,,,,,,4.67,4.12
1920,NHL,OTS,SC,1,,24,14,10,0,,28,1.17,,,97,75,179,7.5,,,,,,4.04,3.12
1920,NHL,TRS,NHLF,1,,24,15,9,0,,30,1.25,,,105,100,287,12.0,,,,,,4.38,4.17
1921,NHL,HAM,,0,,24,7,17,0,,14,0.58,,,88,105,106,4.4,,,,,,3.67,4.38
1921,NHL,MTL,,0,,24,12,11,1,,25,1.04,,,88,94,206,8.6,,,,,,3.67,3.92
1921,NHL,OTS,NHLF,1,,24,14,8,2,,30,1.25,,,106,84,111,4.6,,,,,,4.42,3.5
1921,NHL,TRS,SC,1,,24,13,10,1,,27,1.13,,,98,97,160,6.7,,,,,,4.08,4.04
1922,NHL,HAM,,0,,24,6,18,0,,12,0.50,,,81,110,188,7.8,,,,,,3.38,4.58
