,Year,LeagueID,TeamID,Playoff,MadePlayoff,Unnamed,Games Played,Wins,Losses,Ties,Overtime_Losses,Total_Points,Points_Per_Game,Shootout_Wins,Shootout_Losses,Goals_For,Goals_Against,Penalty_Minutes,Penalty_Minutes_Per_Game,Power_Play_Goals,Power_Play_Chances,Short_handed_Goals_Against,Penalty_Kill_Goals_Allowed,Penalty_Kill_Chances,Goals_For_Per_Game,GoalsAgainstPerGame
0,1917,NHL,MTL,New_League_Format,1,,22,13,9,0.0,,26,1.18,,,115,84,336,15.3,,,,,,5.23,3.82
1,1917,NHL,OTS,,0,,22,9,13,0.0,,18,0.82,,,102,114,333,15.1,,,,,,4.64,5.18
2,1917,NHL,TOA,Stanley_Cup,1,,22,13,9,0.0,,26,1.18,,,108,109,355,16.1,,,,,,4.91,4.95
3,1918,NHL,MTL,Not_Determined,1,,18,10,8,0.0,,20,1.11,,,88,78,253,14.1,,,,,,4.89,4.33
4,1918,NHL,OTS,New_League_Format,1,,18,12,6,0.0,,24,1.33,,,71,53,241,13.4,,,,,,3.94,2.94
5,1918,NHL,TOA,,0,,18,5,13,0.0,,10,0.56,,,64,92,269,14.9,,,,,,3.56,5.11
6,1919,NHL,MTL,,0,,24,13,11,0.0,,26,1.08,,,129,113,297,12.4,,,,,,5.38,4.71
7,1919,NHL,OTS,Stanley_Cup,1,,24,19,5,0.0,,38,1.58,,,121,64,305,12.7,,,,,,5.04,2.67
8,1919,NHL,QUB,,0,,24,4,20,0.0,,8,0.33,,,91,177,123,5.1,,,,,,3.79,7.38
9,1919,NHL,TRS,,0,,24,12,12,0.0,,24,1.0,,,119,106,253,10.5,,,,,,4.96,4.42
10,1920,NHL,HAM,,0,,24,6,18,0.0,,12,0.5,,,92,132,183,7.6,,,,,,3.83,5.5
11,1920,NHL,MTL,,0,,24,13,11,0.0,,26,1.08,,,112,99,325,13.5,,,,,,4.67,4.12
12,1920,NHL,OTS,Stanley_Cup,1,,24,14,10,0.0,,28,1.17,,,97,75,179,7.5,,,,,,4.04,3.12
13,1920,NHL,TRS,New_League_Format,1,,24,15,9,0.0,,30,1.25,,,105,100,287,12.0,,,,,,4.38,4.17
14,1921,NHL,HAM,,0,,24,7,17,0.0,,14,0.58,,,88,105,106,4.4,,,,,,3.67,4.38
15,1921,NHL,MTL,,0,,24,12,11,1.0,,25,1.04,,,88,94,206,8.6,,,,,,3.67,3.92
16,1921,NHL,OTS,New_League_Format,1,,24,14,8,2.0,,30,1.25,,,106,84,111,4.6,,,,,,4.42,3.5
17,1921,NHL,TRS,Stanley_Cup,1,,24,13,10,1.0,,27,1.13,,,98,97,160,6.7,,,,,,4.08,4.04
18,1922,NHL,HAM,,0,,24,6,18,0.0,,12,0.5,,,81,110,188,7.8,,,,,,3.38,4.58
19,1922,NHL,MTL,New_League_Format,1,,24,13,9,2.0,,28,1.17,,,73,61,193,8.0,,,,,,3.04,2.54
20,1922,NHL,OTS,Stanley_Cup,1,,24,14,9,1.0,,29,1.21,,,77,54,195,8.1,,,,,,3.21,2.25
21,1922,NHL,TRS,,0,,24,13,10,1.0,,27,1.13,,,82,88,241,10.0,,,,,,3.42,3.67
22,1923,NHL,HAM,,0,,24,9,15,0.0,,18,0.75,,,63,68,171,7.1,,,,,,2.62,2.83
23,1923,NHL,MTL,Stanley_Cup,1,,24,13,11,0.0,,26,1.08,,,59,48,187,7.8,,,,,,2.46,2.0
24,1923,NHL,OTS,New_League_Format,1,,24,16,8,0.0,,32,1.33,,,74,54,178,7.4,,,,,,3.08,2.25
25,1923,NHL,TRS,,0,,24,10,14,0.0,,20,0.83,,,59,85,242,10.1,,,,,,2.46,3.54
26,1924,NHL,BOS,,0,,30,6,24,0.0,,12,0.4,,,49,119,231,7.7,,,,,,1.63,3.97
27,1924,NHL,HAM,New_League_Format,1,,30,19,10,1.0,,39,1.3,,,90,60,335,11.2,,,,,,3.0,2.0
28,1924,NHL,MTL,Finals,1,,30,17,11,2.0,,36,1.2,,,93,56,406,13.5,,,,,,3.1,1.87
29,1924,NHL,MTM,,0,,30,9,19,2.0,,20,0.67,,,45,65,292,9.7,,,,,,1.5,2.17
30,1924,NHL,OTS,,0,,30,17,12,1.0,,35,1.17,,,83,66,350,11.7,,,,,,2.77,2.2
31,1924,NHL,TRS,Semi-Finals,1,,30,19,11,0.0,,38,1.27,,,90,84,274,9.1,,,,,,3.0,2.8
