UniqueID,playerID,award,year,lgID,pos
1,malonjo01,Art Ross,1917,NHL,n/a
2,cleghod01,Art Ross,1918,NHL,n/a
3,malonjo01,Art Ross,1919,NHL,n/a
4,lalonne01,Art Ross,1920,NHL,n/a
5,broadpu01,Art Ross,1921,NHL,n/a
6,dyeba01,Art Ross,1922,NHL,n/a
7,dennecy01,Art Ross,1923,NHL,n/a
8,nighbfr01,Hart,1923,NHL,n/a
9,dyeba01,Art Ross,1924,NHL,n/a
10,burchbi01,Hart,1924,NHL,n/a
11,nighbfr01,Lady Byng,1924,NHL,n/a
12,stewane01,Art Ross,1925,NHL,n/a
13,stewane01,Hart,1925,NHL,n/a
14,nighbfr01,Lady Byng,1925,NHL,n/a
15,cookbi01,Art Ross,1926,NHL,n/a
16,gardihe01,Hart,1926,NHL,n/a
17,burchbi01,Lady Byng,1926,NHL,n/a
18,hainsge01,Vezina,1926,NHL,n/a
19,morenho01,Art Ross,1927,NHL,n/a
20,morenho01,Hart,1927,NHL,n/a
21,bouchfr01,Lady Byng,1927,NHL,n/a
22,hainsge01,Vezina,1927,NHL,n/a
23,baileac01,Art Ross,1928,NHL,n/a
24,wortero01,Hart,1928,NHL,n/a
25,bouchfr01,Lady Byng,1928,NHL,n/a
26,hainsge01,Vezina,1928,NHL,n/a
27,weilaco01,Art Ross,1929,NHL,n/a
28,stewane01,Hart,1929,NHL,n/a
29,bouchfr01,Lady Byng,1929,NHL,n/a
30,thompti01,Vezina,1929,NHL,n/a
31,morenho01,Art Ross,1930,NHL,n/a
32,clancki01,First Team All-Star,1930,NHL,D
33,cookbi01,First Team All-Star,1930,NHL,RW
34,gardich01,First Team All-Star,1930,NHL,G
35,joliaau01,First Team All-Star,1930,NHL,LW
36,morenho01,First Team All-Star,1930,NHL,C
37,shoreed01,First Team All-Star,1930,NHL,D
38,morenho01,Hart,1930,NHL,n/a
39,bouchfr01,Lady Byng,1930,NHL,n/a
40,bouchfr01,Second Team All-Star,1930,NHL,C
41,clappdi01,Second Team All-Star,1930,NHL,RW
42,cookbu01,Second Team All-Star,1930,NHL,LW
43,johnsch01,Second Team All-Star,1930,NHL,D
44,manthsy01,Second Team All-Star,1930,NHL,D
45,thompti01,Second Team All-Star,1930,NHL,G
46,wortero01,Vezina,1930,NHL,n/a
47,jacksbu01,Art Ross,1931,NHL,n/a
48,cookbi01,First Team All-Star,1931,NHL,RW
49,gardich01,First Team All-Star,1931,NHL,G
50,jacksbu01,First Team All-Star,1931,NHL,LW
51,johnsch01,First Team All-Star,1931,NHL,D
52,morenho01,First Team All-Star,1931,NHL,C
53,shoreed01,First Team All-Star,1931,NHL,D
54,morenho01,Hart,1931,NHL,n/a
55,primejo01,Lady Byng,1931,NHL,n/a
56,clancki01,Second Team All-Star,1931,NHL,D
