UniqueID,playerID,TeamID,LeagueID,Games_Played,Minutes_Played,Wins,Losses,year
G1,abbotge01,BOS,NHL,1.0,60.0,0.0,1.0,1943
G2,abrahch01,NEW,WHA,16.0,870.0,8.0,6.0,1974
G3,abrahch01,NEW,WHA,41.0,2385.0,18.0,18.0,1975
G4,abrahch01,NEW,WHA,45.0,2484.0,15.0,22.0,1976
G5,adamsjo02,BOS,NHL,14.0,780.0,9.0,3.0,1972
G6,adamsjo02,WAS,NHL,8.0,400.0,0.0,7.0,1974
G7,aebisda01,COL,NHL,26.0,1393.0,12.0,7.0,2000
G8,aebisda01,COL,NHL,21.0,1184.0,13.0,6.0,2001
G9,aebisda01,COL,NHL,22.0,1235.0,7.0,12.0,2002
G10,aebisda01,COL,NHL,62.0,3703.0,32.0,19.0,2003
G11,aebisda01,COL,NHL,43.0,2477.0,25.0,14.0,2005
G12,aebisda01,MTL,NHL,7.0,418.0,4.0,3.0,2005
G13,aebisda01,MTL,NHL,32.0,1760.0,13.0,12.0,2006
G14,aebisda01,PHO,NHL,1.0,60.0,0.0,1.0,2007
G15,aikendo01,MTL,NHL,1.0,34.0,0.0,1.0,1957
G16,aitkean01,NYR,NHL,48.0,2970.0,23.0,17.0,1932
G17,aitkean01,NYR,NHL,48.0,2990.0,21.0,19.0,1933
G18,aitkean01,NYR,NHL,10.0,610.0,3.0,7.0,1934
G19,allenbr01,STL,NHL,,,,,2011
G20,almasre01,DET,NHL,1.0,60.0,0.0,1.0,1946
G21,almasre01,CHI,NHL,1.0,60.0,0.0,1.0,1950
G22,almasre01,DET,NHL,1.0,60.0,0.0,0.0,1952
G23,andercr01,CHI,NHL,6.0,270.0,0.0,3.0,2002
G24,andercr01,CHI,NHL,21.0,1205.0,6.0,14.0,2003
G25,andercr01,CHI,NHL,29.0,1553.0,6.0,12.0,2005
G26,andercr01,FLO,NHL,5.0,217.0,1.0,1.0,2006
G27,andercr01,FLO,NHL,17.0,935.0,8.0,6.0,2007
G28,andercr01,FLO,NHL,31.0,1636.0,15.0,7.0,2008
G29,andercr01,COL,NHL,71.0,4235.0,38.0,25.0,2009
G30,andercr01,COL,NHL,33.0,1810.0,13.0,15.0,2010
G31,andercr01,OTT,NHL,18.0,1055.0,11.0,5.0,2010
G32,andercr01,OTT,NHL,63.0,3492.0,33.0,22.0,2011
G33,anderlo01,NYR,NHL,3.0,180.0,1.0,2.0,1951
G34,archayv01,PHB,WHA,6.0,260.0,1.0,3.0,1972
G35,archayv01,VAB,WHA,5.0,263.0,1.0,4.0,1973
G36,askeyto01,ANA,NHL,7.0,273.0,0.0,1.0,1997
G37,askeyto01,ANA,NHL,,,,,1998
G38,astroha01,NYR,NHL,4.0,240.0,2.0,2.0,1977
G39,astroha01,COR,NHL,49.0,2574.0,9.0,27.0,1979
G40,astroha01,COR,NHL,30.0,1642.0,6.0,15.0,1980
G41,aubinje01,PIT,NHL,17.0,756.0,4.0,3.0,1998
G42,aubinje01,PIT,NHL,51.0,2789.0,23.0,21.0,1999
G43,aubinje01,PIT,NHL,36.0,2050.0,20.0,14.0,2000
G44,aubinje01,PIT,NHL,21.0,1094.0,3.0,12.0,2001
G45,aubinje01,PIT,NHL,21.0,1132.0,6.0,13.0,2002
G46,aubinje01,PIT,NHL,22.0,1067.0,7.0,9.0,2003
G47,aubinje01,TOR,NHL,11.0,677.0,9.0,0.0,2005
G48,aubinje01,TOR,NHL,20.0,804.0,3.0,5.0,2006
G49,aubinje01,LAK,NHL,19.0,828.0,5.0,6.0,2007
G50,aubryse01,QUN,WHA,52.0,3036.0,25.0,22.0,1972
G51,aubryse01,QUN,WHA,26.0,1395.0,11.0,11.0,1973
G52,aubryse01,QUN,WHA,31.0,1762.0,17.0,11.0,1974
G53,aubryse01,CIN,WHA,12.0,549.0,6.0,4.0,1975
G54,aubryse01,QUN,WHA,21.0,769.0,6.0,5.0,1976
G55,auldal01,VAN,NHL,1.0,60.0,1.0,0.0,2001
G56,auldal01,VAN,NHL,7.0,382.0,3.0,3.0,2002
G57,auldal01,VAN,NHL,6.0,349.0,2.0,2.0,2003
G58,auldal01,VAN,NHL,67.0,3859.0,33.0,26.0,2005
G59,auldal01,FLO,NHL,27.0,1471.0,7.0,13.0,2006
G60,auldal01,PHO,NHL,9.0,509.0,3.0,6.0,2007
G61,auldal01,BOS,NHL,23.0,1213.0,9.0,7.0,2007
G62,auldal01,OTT,NHL,43.0,2449.0,16.0,18.0,2008
G63,auldal01,DAL,NHL,21.0,1181.0,9.0,6.0,2009
G64,auldal01,NYR,NHL,3.0,119.0,0.0,1.0,2009
G65,auldal01,MTL,NHL,16.0,749.0,6.0,2.0,2010
G66,auldal01,OTT,NHL,14.0,645.0,2.0,4.0,2011
G67,babarse01,SOV,WHA,5.0,300.0,3.0,1.0,1977
G68,babarse01,SOV,WHA,2.0,63.0,1.0,0.0,1978
G69,bacasja01,STL,NHL,19.0,966.0,4.0,10.0,2005
G70,bacasja01,STL,NHL,19.0,894.0,3.0,7.0,2006
G71,bachmri01,DAL,NHL,1.0,10.0,0.0,0.0,2010
G72,bachmri01,DAL,NHL,18.0,933.0,8.0,5.0,2011
G73,bachry01,LAK,NHL,3.0,108.0,0.0,3.0,1998
G74,backljo01,PHI,NHL,1.0,40.0,0.0,1.0,2009
G75,backsni01,MIN,NHL,41.0,2227.0,23.0,8.0,2006
G76,backsni01,MIN,NHL,58.0,3409.0,33.0,13.0,2007
G77,backsni01,MIN,NHL,71.0,4088.0,37.0,24.0,2008
G78,backsni01,MIN,NHL,60.0,3489.0,26.0,23.0,2009
G79,backsni01,MIN,NHL,51.0,2978.0,22.0,23.0,2010
G80,backsni01,MIN,NHL,46.0,2590.0,19.0,18.0,2011
G81,bailesc01,BOS,NHL,11.0,571.0,5.0,1.0,1995
G82,bailesc01,BOS,NHL,8.0,394.0,1.0,5.0,1996
G83,bakerbi02,MOS,NHA,2.0,120.0,0.0,2.0,1909
G84,bakerst01,NYR,NHL,27.0,1391.0,9.0,8.0,1979
G85,bakerst01,NYR,NHL,21.0,1260.0,10.0,6.0,1980
G86,bakerst01,NYR,NHL,6.0,328.0,1.0,5.0,1981
G87,bakerst01,NYR,NHL,3.0,102.0,0.0,1.0,1982
G88,balesmi01,BOS,NHL,1.0,25.0,0.0,0.0,1992
G89,balesmi01,OTT,NHL,1.0,3.0,0.0,0.0,1994
G90,balesmi01,OTT,NHL,20.0,1040.0,2.0,14.0,1995
G91,balesmi01,OTT,NHL,1.0,52.0,0.0,1.0,1996
G92,bannemu01,VAN,NHL,1.0,20.0,0.0,0.0,1977
G93,bannemu01,CHI,NHL,15.0,865.0,2.0,10.0,1980
G94,bannemu01,CHI,NHL,29.0,1671.0,11.0,12.0,1981
G95,bannemu01,CHI,NHL,41.0,2460.0,24.0,12.0,1982
G96,bannemu01,CHI,NHL,56.0,3335.0,23.0,29.0,1983
G97,bannemu01,CHI,NHL,60.0,3371.0,27.0,25.0,1984
G98,bannemu01,CHI,NHL,48.0,2689.0,20.0,19.0,1985
G99,bannemu01,CHI,NHL,39.0,2059.0,9.0,18.0,1986
G100,baronma01,BOS,NHL,1.0,40.0,0.0,0.0,1979
G101,baronma01,BOS,NHL,10.0,507.0,3.0,4.0,1980
G102,baronma01,BOS,NHL,44.0,2515.0,22.0,16.0,1981
G103,baronma01,BOS,NHL,9.0,516.0,6.0,3.0,1982
G104,baronma01,LAK,NHL,21.0,1211.0,3.0,14.0,1983
G105,baronma01,EDM,NHL,1.0,33.0,0.0,1.0,1984
G106,barrato01,BUF,NHL,42.0,2475.0,26.0,12.0,1983
G107,barrato01,BUF,NHL,54.0,3248.0,25.0,18.0,1984
G108,barrato01,BUF,NHL,60.0,3561.0,29.0,24.0,1985
G109,barrato01,BUF,NHL,46.0,2501.0,17.0,23.0,1986
G110,barrato01,BUF,NHL,54.0,3133.0,25.0,18.0,1987
G111,barrato01,BUF,NHL,10.0,545.0,2.0,7.0,1988
G112,barrato01,PIT,NHL,44.0,2406.0,18.0,15.0,1988
G113,barrato01,PIT,NHL,24.0,1294.0,7.0,12.0,1989
G114,barrato01,PIT,NHL,48.0,2754.0,27.0,16.0,1990
G115,barrato01,PIT,NHL,57.0,3329.0,25.0,22.0,1991
G116,barrato01,PIT,NHL,63.0,3702.0,43.0,14.0,1992
G117,barrato01,PIT,NHL,44.0,2482.0,22.0,15.0,1993
G118,barrato01,PIT,NHL,2.0,125.0,0.0,1.0,1994
G119,barrato01,PIT,NHL,49.0,2799.0,29.0,16.0,1995
G120,barrato01,PIT,NHL,5.0,270.0,0.0,5.0,1996
G121,barrato01,PIT,NHL,63.0,3542.0,31.0,14.0,1997
G122,barrato01,PIT,NHL,43.0,2306.0,19.0,16.0,1998
G123,barrato01,PIT,NHL,18.0,870.0,5.0,7.0,1999
G124,barrato01,OTT,NHL,7.0,418.0,3.0,4.0,1999
G125,barrato01,CAR,NHL,34.0,1908.0,13.0,12.0,2001
G126,barrato01,TOR,NHL,4.0,219.0,2.0,2.0,2001
G127,barrato01,STL,NHL,6.0,293.0,1.0,4.0,2002
G128,basseha01,CHI,NHL,21.0,1260.0,4.0,9.0,1954
G129,basseha01,CHI,NHL,12.0,720.0,2.0,9.0,1955
G130,basseha01,DET,NHL,35.0,2050.0,13.0,13.0,1960
G131,basseha01,DET,NHL,27.0,1620.0,9.0,12.0,1961
G132,basseha01,DET,NHL,16.0,960.0,6.0,5.0,1962
G133,basseha01,DET,NHL,1.0,60.0,0.0,1.0,1963
G134,basseha01,DET,NHL,11.0,406.0,3.0,3.0,1965
G135,basseha01,DET,NHL,8.0,384.0,2.0,4.0,1966
G136,basseha01,PIT,NHL,25.0,1299.0,7.0,10.0,1967
G137,bastiba01,TOR,NHL,5.0,300.0,0.0,4.0,1945
G138,baumaga01,MTL,NHL,2.0,120.0,1.0,1.0,1966
G139,baumaga01,MNS,NHL,26.0,1294.0,5.0,13.0,1967
G140,baumaga01,MNS,NHL,7.0,304.0,0.0,4.0,1968
G141,beaupdo01,MNS,NHL,44.0,2585.0,18.0,14.0,1980
G142,beaupdo01,MNS,NHL,29.0,1634.0,11.0,8.0,1981
G143,beaupdo01,MNS,NHL,36.0,2011.0,19.0,10.0,1982
G144,beaupdo01,MNS,NHL,33.0,1791.0,16.0,13.0,1983
G145,beaupdo01,MNS,NHL,31.0,1770.0,10.0,17.0,1984
G146,beaupdo01,MNS,NHL,52.0,3073.0,25.0,20.0,1985
G147,beaupdo01,MNS,NHL,47.0,2622.0,17.0,20.0,1986
G148,beaupdo01,MNS,NHL,43.0,2288.0,10.0,22.0,1987
G149,beaupdo01,MNS,NHL,1.0,59.0,0.0,1.0,1988
G150,beaupdo01,WAS,NHL,11.0,578.0,5.0,4.0,1988
G151,beaupdo01,WAS,NHL,48.0,2793.0,23.0,18.0,1989
G152,beaupdo01,WAS,NHL,45.0,2572.0,20.0,18.0,1990
G153,beaupdo01,WAS,NHL,54.0,3108.0,29.0,17.0,1991
G154,beaupdo01,WAS,NHL,58.0,3282.0,27.0,23.0,1992
G155,beaupdo01,WAS,NHL,53.0,2853.0,24.0,16.0,1993
G156,beaupdo01,OTT,NHL,38.0,2161.0,8.0,25.0,1994
G157,beaupdo01,OTT,NHL,33.0,1770.0,6.0,23.0,1995
G158,beaupdo01,TOR,NHL,8.0,336.0,0.0,5.0,1995
G159,beaupdo01,TOR,NHL,3.0,110.0,0.0,3.0,1996
G160,beaurst01,WIN,NHL,19.0,1079.0,7.0,8.0,1989
G161,beaurst01,WIN,NHL,16.0,836.0,3.0,10.0,1990
G162,beaurst01,WIN,NHL,26.0,1267.0,6.0,8.0,1991
G163,beaurst01,PHI,NHL,16.0,802.0,3.0,9.0,1992
G164,beaurst01,WIN,NHL,13.0,418.0,0.0,4.0,1993
G165,beckfch01,STL,NHL,1.0,27.0,0.0,0.0,2007
G166,bedarji01,WAS,NHL,43.0,2492.0,11.0,23.0,1977
G167,bedarji01,WAS,NHL,30.0,1740.0,6.0,17.0,1978
G168,behrema01,WIN,NHL,6.0,351.0,2.0,4.0,1983
G169,behrema01,WIN,NHL,24.0,1218.0,8.0,10.0,1984
G170,behrema01,WIN,NHL,9.0,422.0,2.0,5.0,1985
G171,belanyv01,STL,NHL,11.0,640.0,6.0,3.0,1974
G172,belanyv01,STL,NHL,31.0,1763.0,11.0,17.0,1975
G173,belanyv01,STL,NHL,3.0,140.0,2.0,0.0,1976
G174,belanyv01,STL,NHL,3.0,144.0,0.0,3.0,1977
G175,belanyv01,ATF,NHL,17.0,937.0,7.0,8.0,1977
G176,belanyv01,ATF,NHL,5.0,182.0,1.0,2.0,1978
G177,belanyv01,BOS,NHL,8.0,328.0,2.0,0.0,1979
G178,belfoed01,CHI,NHL,23.0,1148.0,4.0,12.0,1988
G179,belfoed01,CHI,NHL,,,,,1989
G180,belfoed01,CHI,NHL,74.0,4127.0,43.0,19.0,1990
G181,belfoed01,CHI,NHL,52.0,2928.0,21.0,18.0,1991
G182,belfoed01,CHI,NHL,71.0,4106.0,41.0,18.0,1992
G183,belfoed01,CHI,NHL,70.0,3998.0,37.0,24.0,1993
G184,belfoed01,CHI,NHL,42.0,2450.0,22.0,15.0,1994
G185,belfoed01,CHI,NHL,50.0,2956.0,22.0,17.0,1995
G186,belfoed01,CHI,NHL,33.0,1966.0,11.0,15.0,1996
G187,belfoed01,SJS,NHL,13.0,757.0,3.0,9.0,1996
G188,belfoed01,DAL,NHL,61.0,3581.0,37.0,12.0,1997
G189,belfoed01,DAL,NHL,61.0,3536.0,35.0,15.0,1998
G190,belfoed01,DAL,NHL,62.0,3620.0,32.0,21.0,1999
G191,belfoed01,DAL,NHL,63.0,3687.0,35.0,20.0,2000
