StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,GlobalTeamID,Updated,Games,FantasyPoints,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,Minutes,Seconds,Goals,Assists,ShotsOnGoal,PowerPlayGoals,ShortHandedGoals,EmptyNetGoals,PowerPlayAssists,ShortHandedAssists,HatTricks,ShootoutGoals,PlusMinus,PenaltyMinutes,Blocks,Hits,Takeaways,Giveaways,FaceoffsWon,FaceoffsLost,Shifts,GoaltendingMinutes,GoaltendingSeconds,GoaltendingShotsAgainst,GoaltendingGoalsAgainst,GoaltendingSaves,GoaltendingWins,GoaltendingLosses,GoaltendingShutouts,Started,BenchPenaltyMinutes,GoaltendingOvertimeLosses,FantasyPointsFantasyDraft
2878466,1,30000043,1,2024,James Van Riemsdyk,BOS,LW,30000001,2024-02-27T16:05:12,56,276.0,925.4,713.3,552.1,1253,50,17.8,42.1,200.8,15.7,0.0,0.0,15.7,0.0,0.0,0.0,14.6,22.7,27.5,35.6,14.6,17.8,14.6,16.2,1667.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,922.8
2878533,1,30000073,1,2024,Milan Lucic,BOS,LW,30000001,2024-02-27T16:05:12,4,11.8,33.7,22.8,14.6,76,86,0.0,5.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,5.2,5.2,13.0,0.0,7.9,0.0,0.0,108.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,29.1
2878557,1,30000074,1,2024,Brad Marchand,BOS,LW,30000001,2024-02-27T16:05:12,60,392.9,1358.3,1045.9,782.0,1893,91,42.1,43.7,259.0,11.3,5.2,5.2,24.3,0.0,2.6,2.6,15.7,100.4,40.5,95.5,61.5,85.8,34.0,40.5,2383.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53,,0.0,1395.9
2878481,1,30000607,1,2024,David Pastrnak,BOS,RW,30000001,2024-02-27T16:05:12,60,650.4,2185.5,1682.6,1300.1,1954,29,61.5,76.1,482.5,17.8,0.0,7.9,32.4,0.0,2.6,2.6,34.0,72.9,25.9,69.6,69.6,100.4,13.1,21.0,2188.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,,0.0,2224.8
2878482,1,30000630,1,2024,Patrick Brown,BOS,C,30000001,2024-02-27T16:05:12,11,10.5,38.9,41.1,13.0,157,13,0.0,2.6,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,5.2,7.9,29.1,0.0,2.6,24.3,29.1,238.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,42.1
2878510,1,30000685,1,2024,Kevin Shattenkirk,BOS,D,30000001,2024-02-27T16:05:12,47,161.1,563.9,454.1,322.2,1192,91,13.1,16.2,102.0,5.2,0.0,0.0,13.1,0.0,0.0,0.0,-4.9,19.4,105.2,48.6,19.4,19.4,0.0,0.0,1565.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,608.7
2878500,1,30000805,1,2024,Charlie Coyle,BOS,C,30000001,2024-02-27T16:05:12,60,342.3,1193.5,918.0,678.4,1766,44,34.0,45.3,189.4,13.1,0.0,2.6,7.9,7.9,2.6,5.2,13.0,45.3,64.8,116.6,68.0,38.9,937.4,858.1,2438.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,,0.0,1216.5
2878540,1,30000958,1,2024,Derek Forbort,BOS,D,30000001,2024-02-27T16:05:12,34,93.9,269.4,230.2,187.8,976,32,0.0,10.5,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.5,103.6,93.9,15.7,16.2,0.0,0.0,1405.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,,0.0,310.8
2878542,1,30000995,1,2024,Pavel Zacha,BOS,C,30000001,2024-02-27T16:05:12,56,265.5,894.0,686.5,531.0,1663,11,19.4,38.9,173.2,7.9,0.0,2.6,11.3,0.0,0.0,0.0,14.6,25.9,40.5,95.5,30.8,34.0,673.5,574.7,2122.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31,,0.0,893.7
2878471,1,30001088,1,2024,Brandon Carlo,BOS,D,30000001,2024-02-27T16:05:12,55,208.0,584.1,477.3,416.1,1799,60,7.9,16.2,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,51.8,155.4,134.4,24.3,30.8,0.0,0.0,2417.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,,0.0,650.8
2878525,1,30001238,1,2024,Jake DeBrusk,BOS,LW,30000001,2024-02-27T16:05:12,58,270.7,883.8,714.1,537.5,1587,15,21.0,22.7,213.7,5.2,5.2,5.2,13.1,0.0,0.0,2.6,17.8,19.4,59.9,90.7,47.0,29.1,15.7,21.0,2200.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,,0.0,952.3
2878538,1,30001264,1,2024,Hampus Lindholm,BOS,D,30000001,2024-02-27T16:05:12,56,214.5,629.6,500.1,429.0,2148,42,2.6,29.1,114.9,2.6,0.0,0.0,10.5,0.0,0.0,0.0,30.8,84.2,118.2,50.2,27.5,47.0,0.0,0.0,2702.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51,,0.0,660.6
2878461,1,30001374,1,2024,Linus Ullmark,BOS,G,30000001,2024-02-27T16:05:12,29,217.3,869.1,663.3,566.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817,32,1449.0,127.9,1321.1,25.9,15.7,2.6,28,,15.7,801.4
2878467,1,30002539,1,2024,Matt Grzelcyk,BOS,D,30000001,2024-02-27T16:05:12,45,113.3,362.7,308.9,226.7,1266,8,5.2,13.1,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,50.2,82.6,50.2,16.2,30.8,0.0,0.0,1834.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,411.2
2899125,1,30002631,1,2024,Danton Heinen,BOS,LW,30000001,2024-02-27T16:05:12,52,195.9,663.3,540.3,390.2,1193,60,17.8,16.2,142.5,2.6,2.6,0.0,0.0,0.0,2.6,0.0,15.7,35.6,55.0,84.2,48.6,19.4,19.4,22.7,1670.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,726.9
2999923,1,30002979,1,2024,Anthony Richard,BOS,C,30000001,2024-02-27T16:05:12,9,20.2,73.8,69.6,40.5,154,45,2.6,5.2,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,13.1,45.3,7.9,5.2,0.0,2.6,238.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,74.5
2902482,1,30003099,1,2024,Parker Wotherspoon,BOS,D,30000001,2024-02-27T16:05:12,27,70.4,233.1,197.7,140.9,774,92,0.0,13.1,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,29.1,76.1,82.6,13.0,21.0,0.0,0.0,1052.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,259.0
2878509,1,30003147,1,2024,Charlie McAvoy,BOS,D,30000001,2024-02-27T16:05:12,52,340.3,1136.1,867.9,680.0,2106,84,14.6,51.8,161.9,2.6,0.0,0.0,19.4,0.0,0.0,2.6,14.6,98.8,173.2,145.7,29.1,66.4,0.0,0.0,2501.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50,,0.0,1156.3
2878556,1,30003157,1,2024,Trent Frederic,BOS,C,30000001,2024-02-27T16:05:12,60,263.9,884.1,686.3,527.8,1341,32,25.9,29.1,150.6,2.6,0.0,2.6,0.0,0.0,0.0,0.0,21.0,81.0,61.5,189.4,16.2,27.5,147.3,171.6,1881.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,909.9
3011463,1,30003391,1,2024,Justin Brazeau,BOS,RW,30000001,2024-02-27T16:05:12,4,21.0,63.5,59.4,42.1,68,47,2.6,2.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,10.5,5.2,2.6,0.0,0.0,2.6,121.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,68.0
2895439,1,30003683,1,2024,Jesper Boqvist,BOS,C,30000001,2024-02-27T16:05:12,25,80.1,231.8,191.7,160.3,431,16,7.9,15.7,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,10.5,13.0,48.6,15.7,13.1,50.2,68.0,629.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,236.4
2878511,1,30003688,1,2024,Ian Mitchell,BOS,D,30000001,2024-02-27T16:05:12,13,35.6,88.1,80.0,71.2,322,0,0.0,5.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,16.2,21.0,7.9,0.0,2.6,0.0,0.0,469.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,97.1
2878462,1,30003704,1,2024,Morgan Geekie,BOS,C,30000001,2024-02-27T16:05:12,54,225.0,762.9,597.1,450.1,1349,37,16.2,27.5,147.3,7.9,0.0,0.0,13.1,0.0,0.0,0.0,13.1,32.4,66.4,113.3,38.9,29.1,331.9,432.3,1703.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,,0.0,786.8
2897897,1,30003942,1,2024,Oskar Steen,BOS,C,30000001,2024-02-27T16:05:12,34,36.4,130.8,121.7,72.9,499,37,2.6,0.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,10.5,30.8,92.3,7.9,2.6,0.0,7.9,736.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,158.7
2878506,1,30003991,1,2024,Jeremy Swayman,BOS,G,30000001,2024-02-27T16:05:12,33,263.2,1053.0,806.4,673.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084,74,1598.0,127.9,1470.1,29.1,15.7,7.9,32,,13.0,940.6
2878512,1,30004126,1,2024,Jakub Lauko,BOS,C,30000001,2024-02-27T16:05:12,41,51.8,207.2,176.1,103.6,625,71,5.2,13.1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5,45.3,17.8,148.9,14.6,13.1,10.5,15.7,916.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,216.9
2878550,1,30004493,1,2024,John Beecher,BOS,C,30000001,2024-02-27T16:05:12,39,63.1,257.7,217.8,126.3,651,73,13.1,5.2,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.7,24.3,40.5,97.1,16.2,15.7,336.8,289.8,1028.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,284.9
2902481,1,30004858,1,2024,Mason Lohrei,BOS,D,30000001,2024-02-27T16:05:12,31,110.9,375.1,310.4,221.8,843,68,7.9,15.7,61.5,0.0,0.0,0.0,2.6,0.0,0.0,0.0,2.6,22.7,87.4,35.6,15.7,32.4,0.0,0.0,1130.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,,0.0,414.5
2940208,1,30005573,1,2024,Brandon Bussi,BOS,G,30000001,2024-02-27T16:05:12,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,24.3
