year,lgID,tmID,playoff,made_playoff,made_QF,made_CF,made_F,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm,PPG/gm,PPG_eff,PKG/gm,PK_eff
1979,NHL,ATF,PRE,1,0,0,0,80,35,32,13,,83,1.04,,,282,269,1048,13.1,51,216,7,52,272,3.52,3.36,0.64,0.236,0.65,0.191
1979,NHL,BOS,QF,1,1,0,0,80,46,21,13,,105,1.31,,,310,234,1460,18.3,60,246,4,53,312,3.88,2.92,0.75,0.244,0.66,0.170
1979,NHL,BUF,SF,1,1,1,0,80,47,17,16,,110,1.38,,,318,201,967,12.1,67,275,4,43,252,3.98,2.51,0.84,0.244,0.54,0.171
1979,NHL,CHI,QF,1,1,0,0,80,34,27,19,,87,1.09,,,241,250,1325,16.6,64,269,9,56,293,3.01,3.12,0.80,0.238,0.70,0.191
1979,NHL,COR,,0,0,0,0,80,19,48,13,,51,0.64,,,234,308,1020,12.8,53,304,3,52,233,2.92,3.85,0.66,0.174,0.65,0.223
1979,NHL,DET,,0,0,0,0,80,26,43,11,,63,0.79,,,268,306,1114,13.9,61,276,2,64,270,3.35,3.82,0.76,0.221,0.80,0.237
1979,NHL,EDM,PRE,1,0,0,0,80,28,39,13,,69,0.86,,,301,322,1528,19.1,61,282,4,74,315,3.76,4.03,0.76,0.216,0.93,0.235
1979,NHL,HAR,PRE,1,0,0,0,80,27,34,19,,73,0.91,,,303,312,875,10.9,42,216,1,64,249,3.79,3.9,0.53,0.194,0.80,0.257
1979,NHL,LAK,PRE,1,0,0,0,80,30,36,14,,74,0.93,,,290,313,1124,14.1,83,311,9,94,291,3.62,3.91,1.04,0.267,1.18,0.323
1979,NHL,MNS,SF,1,1,1,0,80,36,28,16,,88,1.10,,,311,253,1064,13.3,75,316,7,43,240,3.89,3.16,0.94,0.237,0.54,0.179
1979,NHL,MTL,QF,1,1,0,0,80,47,20,13,,107,1.34,,,328,240,874,10.9,77,264,7,46,247,4.1,3,0.96,0.292,0.58,0.186
